"title","authors","date","status"
"Azureの知識地図 〜クラウドの基礎から実装・運用管理まで","土田 純平, 永田 祥平, 栗本 美穂, 石塚 航希, 乃村 翼, 草谷 一輝, 酒見 一幸","2025年5月13日","UNKNOWN"
"CSSとJavaScriptで作る動くUIアイデアレシピ","Mana","2025年5月11日","UNKNOWN"
"王者の挑戦　「少年ジャンプ＋」の10年戦記 (集英社ノンフィクション)","戸部田誠（てれびのスキマ）","2025年5月9日","UNKNOWN"
"図解入門ビジネス 最新 再生可能エネルギーの仕組みと動向がよ～くわかる本","今村雅人","2025年5月9日","UNKNOWN"
"極北ラプソディ２００９【電子特典付き】 (講談社文庫)","海堂尊","2025年5月8日","UNKNOWN"
"極北クレイマー２００８【電子特典付き】 (講談社文庫)","海堂尊","2025年5月8日","UNKNOWN"
"筺底のエルピス2　－夏の終わり－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"筺底のエルピス6　－四百億の昼と夜－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"筺底のエルピス3　－狩人のサーカス－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"筺底のエルピス5　－迷い子たちの一歩－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"筺底のエルピス4　－廃棄未来－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"筺底のエルピス　－絶滅前線－ (ガガガ文庫)","オキシタケヒコ","2025年5月1日","UNKNOWN"
"ドラゴン桜2(2) (コルク)","三田紀房","2025年4月28日","READ"
"ドラゴン桜2(1) (コルク)","三田紀房","2025年4月28日","READ"
"ドラゴン桜2(3) (コルク)","三田紀房","2025年4月28日","READ"
"全てがめんどくさいウサギ 2 (コルクスタジオ)","一秒","2025年4月28日","READ"
"生成AIアプリ開発大全――Difyの探求と実践活用","小野 哲","2025年4月26日","READ"
"UIデザインのアイデア帳　アプリ・Web制作の現場で使える 基本＋実践ノウハウ83","東影 勇太, 和田 直樹","2025年4月26日","UNKNOWN"
"コンサル時代に教わった 仕事ができる人の当たり前","西原 亮","2025年4月18日","UNKNOWN"
"AIとコミュニケーションする技術　プロンプティング・スキルの基礎と実践","森重真純","2025年4月13日","UNKNOWN"
"生成AIアプリケーション開発入門：基礎から応用まで学べるエンジニア向け実践ガイド","石 則春","2025年4月13日","UNKNOWN"
"チェンソーマン 20 (ジャンプコミックスDIGITAL)","藤本タツキ","2025年4月4日","READ"
"AWSクラウド設計完全ガイド","アクセンチュア 戸賀 慶/福垣内 孝造/竹内 誠一/浪谷 浩一/澤田 拓也/ 崎原 晴香/浅輪 和哉/村田 亜弥","2025年3月24日","UNKNOWN"
